url,title,place,date
https://bileto.sympla.com.br/event/107846,Froid,"Casa Natura Musical - São Paulo, SP",13 de Set às 21:00
https://bileto.sympla.com.br/event/108487,ALCIONE,"Befly Hall - Belo Horizonte, MG",26 de Set às 22:00
https://bileto.sympla.com.br/event/108502,:: BAILE CHARME RS :: BAR OPINIÃO :: 17/08/25 ::,"Opinião Bar - Porto Alegre, RS",17 de Ago às 18:00
https://www.sympla.com.br/evento/cicero-turne-nacional-2025-uma-onda-em-pedacos-recife/3060602,Cícero - Turnê Nacional 2025 - Uma onda em pedaços - Recife,"Teatro de Santa Isabel - Recife, PE",14 de Nov às 20:00
https://www.sympla.com.br/evento/scrobble-girls-on-the-subway-30-08-sabado/3060513,SCROBBLE: GIRLS ON THE SUBWAY [30.08 | SÁBADO],"Estação Marques Eventos - São Paulo, SP",30 de Ago às 23:00
https://bileto.sympla.com.br/event/108380,Josiel Konrad // Jazz Proibidão,"Casa de Francisca - São Paulo, SP",17 de Ago às 17:00
https://www.sympla.com.br/evento/resenha-dos-pretos/3059914,RESENHA DOS PRETOS,"Afro Galpão  - Belo Horizonte, MG",23 de Ago às 20:00
https://bileto.sympla.com.br/event/106085,ÀVUÀ  ,"Sesc Palladium - Belo Horizonte, MG",22 de Nov às 21:00
https://bileto.sympla.com.br/event/109235,"Tributos Novabrasil: Raul Seixas  Homenagem com Ana Cañas, Moska e Sérgio Britto","Casa Natura Musical - São Paulo, SP",31 de Ago às 19:00
https://www.sympla.com.br/evento/27-09-sonora-breck-1-ano-no-fuga/3063784,27.09 | SONORA BRECK 1 ANO no FUGA,"FUGA BAR - Porto Alegre, RS",27 de Set às 20:00
https://bileto.sympla.com.br/event/109107,A voz do sem voz  Tributo à Mercedes Sosa por Indiana Nomma,"Cineteatro São Luiz - Fortaleza, CE",24 de Ago às 18:00
https://bileto.sympla.com.br/event/103989,NEY MATOGROSSO - BLOCO NA RUA ,"Befly Hall - Belo Horizonte, MG",
https://bileto.sympla.com.br/event/109520,Projeto Frequências: Puro Suco + OGermano + Luiz Barata,"Casa Natura Musical - São Paulo, SP",20 de Set às 21:00
https://www.sympla.com.br/evento/sambinha-da-vila-16-08/3040070,Sambinha da Vila - 16/08,"Minas Brasilia Tênis Clube - Brasília, DF",16 de Ago às 18:00
https://bileto.sympla.com.br/event/108946,Pietá,"Casa de Francisca - São Paulo, SP",
https://bileto.sympla.com.br/event/108490,ROBERTA SÁ – Show “Tudo Que Cantei Sou”,"Pupileira - Salvador, BA",12 de Set às 21:00
https://www.sympla.com.br/evento/baile-room-no-edificio-martinelli-06-09/3069033,BAILE ROOM no Edifício Martinelli! | 06.09,"Condomínio do Edifício Martinelli - São Paulo, SP",06 de Set às 23:00
https://bileto.sympla.com.br/event/107608,ZAZ - 03/03/26,"Araújo Vianna - Porto Alegre, RS",03 de Mar às 21:00
https://bileto.sympla.com.br/event/108525,Playing For Change,"Casa Natura Musical - São Paulo, SP",30 de Ago às 21:00
https://bileto.sympla.com.br/event/105187,RODRIGO TEASER – TRIBUTO AO REI DO POP,"Befly Hall - Belo Horizonte, MG",12 de Dez às 21:00
https://bileto.sympla.com.br/event/108948,Fortuna (SP),"Clube de Jazz do Café com Letras - Belo Horizonte, MG",
https://bileto.sympla.com.br/event/104443,Bee Gees Alive  Maceió/AL,"TEATRO GUSTAVO LEITE - Maceió, AL",16 de Ago às 21:00
https://bileto.sympla.com.br/event/108500,Bee Gees Alive  Bragança Paulista/SP,"Casa de Cultura de Bragança Paulista - Bragança Paulista, SP",13 de Set às 19:00
https://bileto.sympla.com.br/event/107561,FÁBIO JR - 11/12/2025,"Araújo Vianna - Porto Alegre, RS",11 de Dez às 21:00
https://bileto.sympla.com.br/event/106863,Queen Legend  Joinville/SC,"Teatro da Liga  - Joinville, SC",15 de Ago às 21:00
https://www.sympla.com.br/evento/1o-festival-terreiro-edicao-sp/3046524,1º Festival Terreiro  Edição SP,"Águia de Ouro - São Paulo, SP",18 de Out às 14:00
https://www.sympla.com.br/evento/churrascao-do-galo-2025/3045385,CHURRASCÃO DO GALO 2025,"Vila Olímpica Clube Atlético Mineiro - Belo Horizonte, MG",06 de Set às 14:00
https://bileto.sympla.com.br/event/106832,Samba 90 Graus - Fortaleza,"Centro de Eventos - Fortaleza - CE - Fortaleza, CE",06 de Set às 20:00
https://bileto.sympla.com.br/event/108737,QUINTA NO RAUL: MARCOS CATARINA CANTA VANDER LEE,"ESPAÇO CÊNICO YAGI - Teatro Raul Belém Machado - Belo Horizonte, MG",14 de Ago às 20:00
https://bileto.sympla.com.br/event/108802,Frequências: Maui + 2zdinizz,"Casa Natura Musical - São Paulo, SP",26 de Set às 21:00
https://www.sympla.com.br/evento/bate-volta-edicao-divas/3063378,BATE & VOLTA - EDIÇÃO DIVAS,"Casa Savana - Rio de Janeiro, RJ",20 de Set às 22:00
https://www.sympla.com.br/evento/festa-do-one-direction-estelita-recife-29-08/3056380,FESTA DO ONE DIRECTION @Estelita Recife 29/08,"Estelita Bar - Recife, PE",29 de Ago às 21:00
https://www.sympla.com.br/evento/muv-festival-edicao-2025/3045613,MUV FESTIVAL EDIÇÃO 2025,"R. Sete de Setembro, 766 - Sapiranga, RS",
https://bileto.sympla.com.br/event/108061,Queen Legend + E. Balbo  Goiânia/GO,"Teatro Rio Vermelho - Goiânia, GO",14 de Set às 20:00
https://bileto.sympla.com.br/event/108045,Bee Gees Alive  Campo Grande/MS,"Centro de Convenções Palácio Popular Da Cultura - Campo Grande, MS",04 de Set às 20:00
https://www.sympla.com.br/evento/2zdinizz-no-esquenta-do-baile-dos-cria-no-complexo-fora-do-eixo/3069088,2ZDinizz no Esquenta do Baile dos Cria no Complexo Fora do Eixo,"Complexo Fora do Eixo - Brasília, DF",23 de Ago às 18:00
https://bileto.sympla.com.br/event/106808,Legião Urbana Tributo - Londrina,"Teatro Marista Londrina - Londrina, PR",20 de Ago às 20:00
https://bileto.sympla.com.br/event/98647,QUEEN MUSIC TRIBUTE - 19 setembro - Sexta feira 20h30,"Teatro Gazeta - São Paulo, SP",
https://www.sympla.com.br/evento/maceio-pop-festival-2025/3044933,MACEIÓ POP FESTIVAL 2025,"Local a definir - Maceió, AL",27 de Set às 20:00
https://bileto.sympla.com.br/event/109065,Samba da Pedra do Sal ,"Casa de Francisca - São Paulo, SP",16 de Ago às 17:00
https://www.sympla.com.br/evento/black-rio-caio-ocean-vnd/3057619,Black rio : CAIO OCEAN + VND  ,"Casa Black Rio - Rio de Janeiro, RJ",22 de Ago às 21:00
https://bileto.sympla.com.br/event/108999,Queen Legend  Mauá/SP,"Teatro Municipal de Mauá - São Paulo, SP",20 de Set às 21:00
https://www.sympla.com.br/evento/club415-apresenta-martin-garrix/3002906,Club415 apresenta Martin Garrix,"Club 415 - Nova Lima, MG",27 de Dez às 17:00
https://www.sympla.com.br/evento/hype-caixa-misteriosa-14-08-vespera-de-feriado/3062843,HYPE Caixa Misteriosa|14/08  Véspera de Feriado,"Major Lock Pub - Belo Horizonte, MG",14 de Ago às 20:00
https://www.sympla.com.br/evento/pagode-90-no-edificio-martinelli-31-08/3063382,PAGODE 90 no Edifício Martinelli | 31.08,"Condomínio do Edifício Martinelli - São Paulo, SP",31 de Ago às 14:00
