url,title,place,city,date
https://www.ticket360.com.br/evento/31093/ingressos-para-esperanza-spalding,Esperanza Spalding,Vivo Rio,Rio de Janeiro / RJ,18 SET • QUI
https://www.ticket360.com.br/evento/31396/ingressos-para-bailao-do-villa,Bailão do Villa,Villa Country,São Paulo / SP,19 SET • SEX
https://www.ticket360.com.br/evento/30625/ingressos-para-big-mountain,Big Mountain,Audio,São Paulo / SP,19 SET • SEX
https://www.ticket360.com.br/evento/31283/ingressos-para-estancia-pet,Estância Pet,Estância Alto da Serra,São Bernardo do Campo / SP,20 SET • SÁB
https://www.ticket360.com.br/evento/31181/ingressos-para-jorge-ben-jor-salve-jorge,Jorge Ben Jor Salve Jorge,Espaço Unimed,São Paulo / SP,20 SET • SÁB
https://www.ticket360.com.br/evento/30996/ingressos-para-reggae-legends-com-groundation-e-the-congos,Reggae Legends com Groundation e The Congos,Audio,São Paulo / SP,21 SET • DOM
https://www.ticket360.com.br/evento/31149/ingressos-para-dominguinho-joao-gomes-mestrinho-e-jotape-data-extra,"Dominguinho João Gomes, Mestrinho e Jota.Pê Data Extra",Espaço Unimed,São Paulo / SP,21 SET • DOM
https://www.ticket360.com.br/evento/31193/ingressos-para-raca-negra-turne-me-leva-junto-com-voce-data-extra,Raça Negra Turnê Me Leva Junto Com Você Data Extra,Espaço Unimed,São Paulo / SP,26 SET • SEX
https://www.ticket360.com.br/evento/31241/ingressos-para-ana-frango-eletrico-me-chama-de-gato-que-eu-sou-sua,"Ana Frango Elétrico, Me chama de Gato Que Eu Sou Sua",Audio,São Paulo / SP,26 SET • SEX
https://www.ticket360.com.br/evento/31280/ingressos-para-reacao-em-cadeia-a-ultima-batida,Reação em Cadeia A Última Batida,Audio,São Paulo / SP,27 SET • SÁB
https://www.ticket360.com.br/evento/31369/ingressos-para-40-fingers,40 Fingers,Theatro Municipal do Rio de Janeiro,Rio de Janeiro / RJ,27 SET • SÁB
https://www.ticket360.com.br/evento/30752/ingressos-para-raca-negra-turne-me-leva-junto-com-voce,Raça Negra Turnê Me Leva Junto Com Você,Espaço Unimed,São Paulo / SP,27 SET • SÁB
https://www.ticket360.com.br/evento/31151/ingressos-para-pagode-do-pericao,Pagode do Pericão,Riocentro,Rio de Janeiro / RJ,28 SET • DOM
https://www.ticket360.com.br/evento/31411/ingressos-para-saulo-som-sol-no-varanda-estaiada,"Saulo, Som, Sol no Varanda Estaiada",Varanda Estaiada,São Paulo / SP,28 SET • DOM
https://www.ticket360.com.br/evento/31255/ingressos-para-tom-cavalcante-o-tom-ta-on,"Tom Cavalcante, O Tom Tá On",Espaço Unimed,São Paulo / SP,28 SET • DOM
https://www.ticket360.com.br/evento/31307/ingressos-para-de-la-soul,De La Soul,Audio,São Paulo / SP,02 OUT • QUI
https://www.ticket360.com.br/evento/30559/ingressos-para-il-volo,IL Volo Live In Concert 2025,Vivo Rio,Rio de Janeiro / RJ,03 OUT • SEX
https://www.ticket360.com.br/evento/31216/ingressos-para-lagum-as-cores-as-curvas-e-as-dores-do-mundo-data-extra,"Lagum As Cores, as Curvas e as Dores do Mundo Data Extra",Espaço Unimed,São Paulo / SP,03 OUT • SEX
https://www.ticket360.com.br/evento/31179/ingressos-para-oriente-acustico-show-de-lancamento-acustico-3,Oriente Acústico Show de Lançamento Acústico 3,Audio,São Paulo / SP,03 OUT • SEX
https://www.ticket360.com.br/evento/31313/ingressos-para-pacote-lagune-barra-hotel-chitaozinho-e-xororo,Pacote Lagune Barra Hotel Chitãozinho & Xororó,Lagune Barra Hotel,Rio de Janeiro / RJ,04 OUT • SÁB
https://www.ticket360.com.br/evento/30391/ingressos-para-anavitoria-turne-das-esquinas,ANAVITÓRIA Turnê das Esquinas,Espaço Unimed,São Paulo / SP,04 OUT • SÁB
https://www.ticket360.com.br/evento/31266/ingressos-para-31265-ze-neto-cristiano-diego-arnaldo-e-netto-estacionamento,"31265 - Zé Neto & Cristiano, Diego & Arnaldo e Netto Estacionamento",Estacionamento - Estância Alto da Serra,São Bernardo do Campo / SP,04 OUT • SÁB
https://www.ticket360.com.br/evento/30968/ingressos-para-experiencia-2k,Experiência 2K,Audio,São Paulo / SP,04 OUT • SÁB
https://www.ticket360.com.br/evento/30988/ingressos-para-chitaozinho-e-xororo,Chitãozinho & Xororó,Farmasi Arena,Rio de Janeiro / RJ,04 OUT • SÁB
https://www.ticket360.com.br/evento/31265/ingressos-para-ze-neto-cristiano-diego-arnaldo-e-netto,"Zé Neto & Cristiano, Diego & Arnaldo e Netto",Estância Alto da Serra,São Bernardo do Campo / SP,04 OUT • SÁB
https://www.ticket360.com.br/evento/30449/ingressos-para-anavitoria-turne-das-esquinas-data-extra,ANAVITÓRIA Turnê das Esquinas Data Extra,Espaço Unimed,São Paulo / SP,05 OUT • DOM
https://www.ticket360.com.br/evento/31206/ingressos-para-fabio-rabin-ladeira-abaixo,"Fábio Rabin, Ladeira Abaixo",Vivo Rio,Rio de Janeiro / RJ,05 OUT • DOM
https://www.ticket360.com.br/evento/30791/ingressos-para-maiara-e-maraisa,Maiara & Maraisa,Villa Country,São Paulo / SP,09 OUT • QUI
https://www.ticket360.com.br/evento/30561/ingressos-para-il-volo,IL Volo Live In Concert 2025,Vibra São Paulo,São Paulo / SP,10 OUT • SEX
https://www.ticket360.com.br/evento/31398/ingressos-para-jorge-aragao-e-pericles,Jorge Aragão e Péricles,Clube Atlético Aramaçan,Santo André / SP,10 OUT • SEX
https://www.ticket360.com.br/evento/30381/ingressos-para-anavitoria-turne-das-esquinas,ANAVITÓRIA Turnê das Esquinas,Vivo Rio,Rio de Janeiro / RJ,11 OUT • SÁB
https://www.ticket360.com.br/evento/30562/ingressos-para-il-volo,IL Volo Live In Concert 2025,Vibra São Paulo,São Paulo / SP,11 OUT • SÁB
https://www.ticket360.com.br/evento/30544/ingressos-para-biquini-e-ira,Biquini e Ira,Clube Atlético Aramaçan,Santo André / SP,11 OUT • SÁB
https://www.ticket360.com.br/evento/30495/ingressos-para-hg-acustico-engenheiros-do-hawaii,Humberto Gessinger Acústicos Engenheiros do Hawaii,Espaço Unimed,São Paulo / SP,11 OUT • SÁB
https://www.ticket360.com.br/evento/31251/ingressos-para-apaixona-guapira-com-unha-pintada-e-bonde-do-brasil,Apaixona Guapira com Unha Pintada e Bonde do Brasil,Clube Guapira,São Paulo / SP,11 OUT • SÁB
https://www.ticket360.com.br/evento/31372/ingressos-para-show-da-belinha,Show da Belinha,Espaço Unimed,São Paulo / SP,12 OUT • DOM
https://www.ticket360.com.br/evento/30437/ingressos-para-anavitoria-turne-das-esquinas-data-extra,ANAVITÓRIA Turnê das Esquinas Data Extra,Vivo Rio,Rio de Janeiro / RJ,12 OUT • DOM
https://www.ticket360.com.br/evento/30563/ingressos-para-il-volo,IL Volo Live In Concert 2025,Vibra São Paulo,São Paulo / SP,12 OUT • DOM
https://www.ticket360.com.br/evento/31178/ingressos-para-diogo-almeida-especial-mes-dos-professores,Diogo Almeida Especial Mês dos Professores,Espaço Unimed,São Paulo / SP,15 OUT • QUA
https://www.ticket360.com.br/evento/31191/ingressos-para-samuel-rosa-e-dado-villa-lobos-convida-andre-frateschi,Samuel Rosa e Dado Villa-Lobos convida André Frateschi,Clube Atlético Juventus,São Paulo / SP,17 OUT • SEX
