artist,url,location,date
"TIPATIA, SÔ! – ANDERSON PROFETA",https://www.eventim.com.br/event/tipatia-so-anderson-profeta-cine-theatro-brasil-20403644/,Belo Horizonte,"qui. 16/10/2025, 21:00"
JÚRI POPULAR,https://www.eventim.com.br/event/juri-popular-cine-theatro-brasil-20448646/,Belo Horizonte,"sáb. 06/09/2025, 20:00"
JÚRI POPULAR,https://www.eventim.com.br/event/juri-popular-cine-theatro-brasil-20448647/,Belo Horizonte,"dom. 07/09/2025, 19:00"
LUIS BRAVO'S FOREVER TANGO,https://www.eventim.com.br/event/luis-bravos-forever-tango-cine-theatro-brasil-20324849/,Belo Horizonte,"qua. 30/07/2025, 21:00"
NANY PEOPLE EM SER MULHER NÃO É PARA QUALQUER UM,https://www.eventim.com.br/event/nany-people-em-ser-mulher-nao-e-para-qualquer-um-cine-theatro-brasil-20275740/,Belo Horizonte,"sex. 15/08/2025, 21:00"
ABRIL POÉTICO,https://www.eventim.com.br/event/abril-poetico-palacio-das-artes-20407031/,Belo Horizonte,"sáb. 09/08/2025, 18:00"
PEQUEÑAS INFIDELIDADES,https://www.eventim.com.br/event/pequenas-infidelidades-palacio-das-artes-20478331/,Belo Horizonte,"qui. 28/08/2025, 20:00"
PEQUEÑAS INFIDELIDADES,https://www.eventim.com.br/event/pequenas-infidelidades-palacio-das-artes-20478334/,Belo Horizonte,"sex. 29/08/2025, 20:00"
DIVERSÃO EM CENA: TIQUEQUÊ - BAILAMOS,https://www.eventim.com.br/event/diversao-em-cena-tiqueque-bailamos-palacio-das-artes-20466518/,Belo Horizonte,"dom. 07/09/2025, 17:00"
OS 3 PORQUINHOS – O CLÁSSICO,https://www.eventim.com.br/event/os-3-porquinhos-o-classico-cine-theatro-brasil-20246128/,Belo Horizonte,"sáb. 26/07/2025, 16:00"
OS 3 PORQUINHOS – O CLÁSSICO,https://www.eventim.com.br/event/os-3-porquinhos-o-classico-cine-theatro-brasil-20246126/,Belo Horizonte,"dom. 27/07/2025, 16:00"
BLOW UP - RECIFE,https://www.eventim.com.br/event/blow-up-recife-shopping-recife-20365765/,Recife,qua. 23/07/2025 ─ qua. 23/07/2025
BLOW UP - RECIFE,https://www.eventim.com.br/event/blow-up-recife-shopping-recife-20365771/,Recife,qui. 24/07/2025 ─ qui. 24/07/2025
ALADIM E A LÂMPADA MÁGICA - O MUSICAL,https://www.eventim.com.br/event/aladim-e-a-lampada-magica-o-musical-teatro-das-artes-20366166/,São Paulo,"sáb. 26/07/2025, 15:00"
ALADIM E A LÂMPADA MÁGICA - O MUSICAL,https://www.eventim.com.br/event/aladim-e-a-lampada-magica-o-musical-teatro-das-artes-20366177/,São Paulo,"dom. 27/07/2025, 15:00"
MARIA CLARA & JP – BRINCAR E IMAGINAR,https://www.eventim.com.br/event/maria-clara-jp-brincar-e-imaginar-cine-theatro-brasil-20485253/,Belo Horizonte,"dom. 07/09/2025, 15:00"
MARIA CLARA & JP – BRINCAR E IMAGINAR,https://www.eventim.com.br/event/maria-clara-jp-brincar-e-imaginar-cine-theatro-brasil-20485273/,Belo Horizonte,"dom. 07/09/2025, 18:00"
MOSTRA CINE DE BRASIL DE TEATRO APRESENTA DOIS PAPAS,https://www.eventim.com.br/event/mostra-cine-de-brasil-de-teatro-apresenta-dois-papas-cine-theatro-brasil-20465637/,Belo Horizonte,"sáb. 08/11/2025, 21:00"
MOSTRA CINE DE BRASIL DE TEATRO APRESENTA DOIS PAPAS,https://www.eventim.com.br/event/mostra-cine-de-brasil-de-teatro-apresenta-dois-papas-cine-theatro-brasil-20465672/,Belo Horizonte,"dom. 09/11/2025, 19:00"
